feature_a,feature_b,nan_rate_a,nan_rate_b,both_ok_pct,a_nan_only_pct,b_nan_only_pct,both_nan_pct,cramers_v,mi_norm,naive_ba,pattern_targets
water_intake,gender,0.06300210987584193,0.030971412341614404,0.9060264777825436,0.06300210987584193,0.030971412341614404,0.0,0.0026652919124382874,1.403619208741432e-05,0.3333333333333333,"{'both-OK': {0: 0.8589369168220742, 1: 0.057720420064039615, 2: 0.08334266311388623}, 'water_-NaN': {0: 0.8550957977781356, 1: 0.058053683556823145, 2: 0.08685051866504129}, 'gender-NaN': {0: 0.8582791372292145, 1: 0.05567772423150704, 2: 0.08604313853927853}}"
water_intake,smoking_alcohol,0.06300210987584193,0.04141790612211776,0.8981782033595715,0.06040389051831071,0.038819686764586546,0.0025982193575312135,0.0025702128163337737,1.2980198527479759e-05,0.3333333333333333,"{'both-OK': {0: 0.8589869349587462, 1: 0.057669782615008824, 2: 0.08334328242624496}, 'water_-NaN': {0: 0.8553161884655983, 1: 0.0578159485653968, 2: 0.0868678629690049}, 'smokin-NaN': {0: 0.8572548434058755, 1: 0.05726230915674344, 2: 0.08548284743738102}, 'both-NaN': {0: 0.8499721137757947, 1: 0.06358059118795314, 2: 0.08644729503625209}}"
water_intake,sleep_quality,0.06300210987584193,0.0845269009169845,0.8578021933434576,0.057670905739557854,0.07919569678070043,0.005331204136284068,0.0025024373988641584,1.2360327814918626e-05,0.3333333333333333,"{'both-OK': {0: 0.8588398858704741, 1: 0.05759858368569445, 2: 0.08356153044383141}, 'water_-NaN': {0: 0.8548168249660787, 1: 0.05811849841700588, 2: 0.08706467661691543}, 'sleep_-NaN': {0: 0.859730659445217, 1: 0.05824123545341433, 2: 0.08202810510136865}, 'both-NaN': {0: 0.8581136178309323, 1: 0.05735254145148138, 2: 0.0845338407175863}}"
water_intake,physical_activity_level,0.06300210987584193,0.05306714505976049,0.8871911988036308,0.059741656136608666,0.04980669132052724,0.003260453739233257,0.0025051882150719912,1.2306156441971264e-05,0.3333333333333333,"{'both-OK': {0: 0.8588560041813668, 1: 0.05770286162289298, 2: 0.08344113419574023}, 'water_-NaN': {0: 0.855313265578383, 1: 0.057729158076018146, 2: 0.08695757634559875}, 'physic-NaN': {0: 0.8599691600477146, 1: 0.05676296878182188, 2: 0.08326787117046347}, 'both-NaN': {0: 0.8511111111111112, 1: 0.064, 2: 0.08488888888888889}}"
sleep_quality,gender,0.0845269009169845,0.030971412341614404,0.8870854151934247,0.081943172464961,0.028387683889590894,0.00258372845202351,0.0024796023809444505,1.2203794257362867e-05,0.3333333333333333,"{'both-OK': {0: 0.858594141794641, 1: 0.05771954384996251, 2: 0.08368631435539649}, 'sleep_-NaN': {0: 0.8596944189007569, 1: 0.05798613567234916, 2: 0.08231944542689397}, 'gender-NaN': {0: 0.8583460949464012, 1: 0.05487493619193466, 2: 0.08677896886166411}, 'both-NaN': {0: 0.857543466068424, 1: 0.06449803701626472, 2: 0.07795849691531127}}"
sleep_duration,water_intake,0.1101294327679948,0.06300210987584193,0.8338893010746455,0.10310858904951252,0.05598126615735964,0.00702084371848228,0.0023630369951250984,1.097312911815408e-05,0.3333333333333333,"{'both-OK': {0: 0.8588165579704479, 1: 0.05768806357382046, 2: 0.08349537845573171}, 'sleep_-NaN': {0: 0.859712735756247, 1: 0.05736852460859544, 2: 0.08291873963515754}, 'water_-NaN': {0: 0.8552754193414785, 1: 0.058241872023193204, 2: 0.08648270863532823}, 'both-NaN': {0: 0.8536635706914345, 1: 0.0565531475748194, 2: 0.08978328173374613}}"
calorie_expenditure,water_intake,0.07658878287986459,0.06300210987584193,0.8653302187547095,0.07166767136944853,0.05808099836542586,0.004921111510416063,0.002280031385737838,1.0209608062538421e-05,0.3333333333333333,"{'both-OK': {0: 0.8589559812041785, 1: 0.057621652036158176, 2: 0.08342236675966333}, 'calori-NaN': {0: 0.8584224680025072, 1: 0.05803020805952646, 2: 0.08354732393796631}, 'water_-NaN': {0: 0.8553179810882962, 1: 0.058107332651380954, 2: 0.08657468626032284}, 'both-NaN': {0: 0.8524734982332155, 1: 0.05742049469964664, 2: 0.09010600706713781}}"
water_intake,stress_level,0.06300210987584193,0.12000063759984234,0.8247151087977186,0.05528425360243911,0.11228278132643953,0.007717856273402812,0.0021932453035025242,9.468192306625032e-06,0.3333333333333333,"{'both-OK': {0: 0.8588748361522756, 1: 0.05767791315104213, 2: 0.08344725069668228}, 'water_-NaN': {0: 0.8551020943094545, 1: 0.058137401378731884, 2: 0.08676050431181358}, 'stress-NaN': {0: 0.8592114602826354, 1: 0.05746918758469381, 2: 0.08331935213267085}, 'both-NaN': {0: 0.8550506947052197, 1: 0.05745399924896733, 2: 0.08749530604581299}}"
sleep_duration,calorie_expenditure,0.1101294327679948,0.07658878287986459,0.8218763404087595,0.10153487671137594,0.06799422682324573,0.008594556056618866,0.0021517120067526922,9.3581226195547e-06,0.3333333333333333,"{'both-OK': {0: 0.8587470709685154, 1: 0.05764263435637123, 2: 0.08361029467511333}, 'sleep_-NaN': {0: 0.8585659644916367, 1: 0.0577296340697608, 2: 0.0837044014386025}, 'calori-NaN': {0: 0.8567409743830187, 1: 0.05869315033459784, 2: 0.08456587528238353}, 'both-NaN': {0: 0.8683190018546619, 1: 0.052436351374135895, 2: 0.07924464677120216}}"
sleep_duration,sleep_quality,0.1101294327679948,0.0845269009169845,0.8146221931116031,0.1760992800918144,0.1760992800918144,0.009278526796582465,0.0021542104576142557,9.071362541074669e-06,0.3333333333333333,"{'both-OK': {0: 0.8584213419287358, 1: 0.05773968667339072, 2: 0.08383897139787357}, 'sleep_-NaN': {0: 0.8604606378061932, 1: 0.05754121090741026, 2: 0.08199815128639655}, 'both-NaN': {0: 0.8528814618147743, 1: 0.06340777760424801, 2: 0.08371076058097766}}"
